,id,text,annotations,meta,annotation_approver,Unnamed: 5,Unnamed: 6,Unnamed: 7,aspect1,aspect2,aspect3,aspect4,aspect5,aspect6,aspect7
666,887806,ship hàng không gọi điện giao đi không không kiểm_tra hàng giúp phẩm ok ship chán,"[{'label': 320, 'user': 15}]","{'review_id': 14400, 'comment': 'Ship hàng không gọi điện trước, cứ đến nhà giao, mình đi làm ko có ở nhà, ko kiểm tra hàng đc khi nhờ người nhận giúp. Rõ chán.', 'summary': 'Sản phẩm ok, người ship chán', 'annotations': {'28': ['chất lượng +', 'ship -'], '29': ['ship -']}}",,,,,1,0,0,0,0,0,0
668,887804,sản_phẩm tốt tiki giao hàng siêu kì hài_lòng,"[{'label': 319, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 12640, 'comment': 'Sản phẩm tốt. Tiki giao hàng siêu nhanh.', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['chất lượng +', 'ship +'], '29': ['ship +', 'chất lượng +']}}",,,,,1,0,0,1,0,0,0
669,887803,đóng_gói cẩn kì hài_lòng,"[{'label': 319, 'user': 15}]","{'review_id': 1549, 'comment': 'Đóng gói cẩn thận!', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['ship +'], '17': ['ship +']}}",,,,,1,0,0,0,0,0,0
671,887801,sản_phẩm chất_lượng tuyệt_vời đúng như mô_tả đóng_gói sản_phẩm đẹp chắc_chắn shop phục_vụ tốt tiền giao hàng nhanh p / s : không chụp đỡ hình mạng kì hài_lòng,"[{'label': 317, 'user': 15}, {'label': 325, 'user': 15}, {'label': 319, 'user': 15}, {'label': 321, 'user': 15}, {'label': 323, 'user': 15}]","{'review_id': 1067, 'comment': 'Sản phẩm có chất lượng tuyệt vời đúng như mô tả, đóng gói sản phẩm đẹp và chắc chắn, shop phục vụ rất tốt, rất đáng tiền, giao hàng nhanh. \np/s: không có thời gian chụp nên mình lấy đỡ hình trên mạng up', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['ship +', 'giá +', 'dịch vụ +', 'chính hãng +', 'chất lượng +'], '17': ['dịch vụ +', 'ship +', 'chất lượng +'], '19': ['dịch vụ +', 'ship +', 'chất lượng +', 'giá +'], '20': ['chất lượng +', 'ship +', 'chính hãng +', 'dịch vụ +'], '25': ['giá +', 'ship +', 'dịch vụ +', 'chất lượng +']}}",,,,,1,1,1,1,1,0,0
672,887800,tốt bỉm thấm hút giao hàng nhanh ủng_hộ kì hài_lòng,"[{'label': 319, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 12958, 'comment': 'dùng rất tốt bỉm thấm hút giao hàng nhanh sẽ ủng hộ tiki', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['ship +', 'chất lượng +'], '29': ['ship +', 'chất lượng +']}}",,,,,1,0,0,1,0,0,0
673,887799,đầu mua sữa nhập sợ giả giao hàng bao nilong kỹ_lưỡng oke,"[{'label': 319, 'user': 15}, {'label': 323, 'user': 15}]","{'review_id': 13108, 'comment': 'lần đầu mua sữa nhập cứ sợ giả. nhưng khi giao hàng được bao nilong kỹ lưỡng. thanks', 'summary': 'rất ok', 'annotations': {'23': ['ship +'], '30': ['chính hãng +', 'dịch vụ +']}}",,,,,1,0,1,0,0,0,0
677,887795,sản_phẩm tốt vận_chuyển hàng nhanh nhân_viên giao hàng nhiệt,"[{'label': 319, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 14374, 'comment': 'sản phẩm tốt. vận chuyển hàng rất nhanh, nhân viên giao hàng nhiệt tình', 'summary': 'Hài lòng', 'annotations': {'28': ['dịch vụ +', 'ship +', 'chất lượng +'], '29': ['dịch vụ +', 'ship +', 'chất lượng +']}}",,,,,1,0,0,1,0,0,0
679,887793,combo 2 gói tã quần 1 gói báo giao hàng thành_công cạnh giao hàng ( 10 ) bao_bì đóng_gói cẩn,"[{'label': 326, 'user': 15}, {'label': 320, 'user': 15}]","{'review_id': 12883, 'comment': 'Tôi đặt combo 2 gói tã quần nhưng chỉ nhận được 1 gói mà tình trạng vẫn báo là giao hàng thành công. bên cạnh đó thời gian giao hàng quá lâu (gần 10 ngày). bao bì đóng gói cẩn thận.', 'summary': 'Khó chịu', 'annotations': {'23': ['ship -'], '29': ['ship -', 'dịch vụ -']}}",,,,,1,0,0,0,1,0,0
680,887792,giao hàng nhanh kì hài_lòng,"[{'label': 319, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 14341, 'comment': 'Giao hàng nhanh, dùng tốt', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['chất lượng +', 'ship +'], '29': ['chất lượng +', 'ship +']}}",,,,,1,0,0,1,0,0,0
681,887791,mua 2 gói moony kích_thước m voucher sale 30 % mua dầu olive kid hàng không được_lòng,"[{'label': 326, 'user': 15}]","{'review_id': 13339, 'comment': 'Mình mua 2 gói moony size M đc voucher sale 30% mua dầu olive kid nhưng mà nhận đc hàng mà ko nhận đc quà', 'summary': 'Hài lòng', 'annotations': {'23': ['dịch vụ -'], '30': ['dịch vụ -']}}",,,,,0,0,0,0,1,0,0
683,887789,cực_kì hài_lòng hàng giao nhanh đúng y_như kì hài_lòng,"[{'label': 323, 'user': 15}, {'label': 319, 'user': 15}]","{'review_id': 12764, 'comment': 'Cực kì hài lòng, hàng giao nhanh đúng y như trên hình', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['ship +'], '29': ['ship +', 'chất lượng +']}}",,,,,1,0,1,0,0,0,0
684,887788,mua mất sàn giao_dịch đều kì hài_lòng,"[{'label': 316, 'user': 15}]","{'review_id': 1839, 'comment': 'Đặt mua mất nhiều thời gian hơn các sàn giao dịch khác thôi. Còn lại đều ổn', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['chất lượng +', 'ship -'], '17': ['other'], '20': ['ship -'], '25': ['dịch vụ -', 'ship -']}}",,,,,0,0,0,0,0,0,1
685,887787,tả quần nhẹ mềm bé mặc thoải_mái loại tả không tả quần kích_thước xxxl,"[{'label': 321, 'user': 15}]","{'review_id': 13142, 'comment': 'Tả quần nhẹ, mềm. Thấy bé mặc thoải mái hơn các loại tả khác nhưng sau không thấy tả quần size xxxl nhỉ?', 'summary': 'Hài lòng', 'annotations': {'23': ['chất lượng +'], '30': ['chất lượng +']}}",,,,,0,0,0,1,0,0,0
686,887786,giao hàng nhanh đóng_gói cẩn kì hài_lòng,"[{'label': 319, 'user': 15}]","{'review_id': 1313, 'comment': 'Giao hàng nhanh. Đóng gói cẩn thận', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['ship +'], '17': ['ship +']}}",,,,,1,0,0,0,0,0,0
687,887785,sản_phẩm tốt giá_cả ưu_đãi thanks tiki kì hài_lòng,"[{'label': 321, 'user': 15}, {'label': 317, 'user': 15}]","{'review_id': 13265, 'comment': 'Sản phẩm tốt. Giá cả ưu đãi. Thanks TIki rất nhiều', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['chất lượng +', 'giá +'], '30': ['chất lượng +', 'giá +']}}",,,,,0,1,0,1,0,0,0
688,887784,cám_ơn shop giao hàng nhanh giá_cả ổn_định_kì hài_lòng,"[{'label': 319, 'user': 15}, {'label': 317, 'user': 15}]","{'review_id': 308, 'comment': 'Cám ơn shop đã giao hàng nhanh . Giá cả ổn định .', 'summary': 'Cực kì hài lòng', 'annotations': {'20': ['trash'], '25': ['giá +', 'ship +']}}",,,,,1,1,0,0,0,0,0
689,887783,rẻ êm hợp túi,"[{'label': 321, 'user': 15}, {'label': 317, 'user': 15}]","{'review_id': 1510, 'comment': 'rẻ, êm nói chung hợp túi tiền', 'summary': 'Hài lòng', 'annotations': {'23': ['giá +', 'chất lượng +'], '17': ['chất lượng +', 'giá +']}}",,,,,0,1,0,1,0,0,0
690,887782,tốt sản_phẩm tốt tốt tốt tôt tốt tốt,"[{'label': 315, 'user': 15}]","{'review_id': 14582, 'comment': 'tốt sp tốt rất tốt tốt rất tôt quá tốt quá tốt quá tôt', 'summary': 'tốt', 'annotations': {'28': ['chất lượng +', 'typo'], '29': ['trash']}}",,,,,0,0,0,0,0,0,0
691,887781,mua hàng tiki hài_lòng bỉm hồi pamper mẫu dáng bé ok trung_thành mỏng nhẹ đai co_giãn mềm_mại khả_năng thấm hút cực tốt kích_thước hơi loại như meries 1 kì hài_lòng,"[{'label': 315, 'user': 15}]","{'review_id': 1418, 'comment': 'Mua hàng của tiki nhiều rồi và rất hài lòng. Bỉm thì từ hồi pamper có mẫu giữ dáng này mình dùng cho bé thấy OK nên cứ trung thành sd thôi. \nMỏng nhẹ, đai co giãn mà mềm mại nữa. Khả năng thấm hút cực tốt. Chỉ có điều size hơi nhỏ hơn so với các loại như Meries 1 chút!', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['chất lượng +'], '17': ['chất lượng +'], '20': ['trash'], '25': ['chất lượng +']}}",,,,,0,0,0,0,0,0,0
692,887780,tã mềm thấm hút tốt rộng_rãi tiki giao nhanh chiều m không đăng_kí vụ tốt,"[{'label': 319, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 13636, 'comment': 'Tã mềm, thấm hút tốt, rộng rãi. Tiki giao nhanh, sáng đặt, chiều có rồi dù m ko đăng kí tikinow.', 'summary': 'Dịch vụ tốt', 'annotations': {'19': ['ship +', 'chất lượng +'], '30': ['ship +', 'chất lượng +']}}",,,,,1,0,0,1,0,0,0
693,887779,mua hàng ti ki uy_tín chất kiểm mua hàng ti_lòng,"[{'label': 321, 'user': 15}, {'label': 323, 'user': 15}]","{'review_id': 1467, 'comment': 'Thích mua hàng của Ti ki ,uy tín chất lượng,được kiểm hàng,nên mua hàng của Ti ki', 'summary': 'Hài lòng', 'annotations': {'28': ['chính hãng +', 'chất lượng +'], '17': ['chính hãng +', 'chất lượng +'], '20': ['chất lượng +'], '25': ['dịch vụ +']}}",,,,,0,0,1,1,0,0,0
694,887778,tã không mùi bề_mặt tã mềm mịn ôm nhẹ bé không vết hằn không hề xệ mặc_dù bé tè bé hoạt_động dễ_dàng băng_keo tã mua đợt giảm_giá giá tốt ưng sản_phẩm tã pampers dáng canh sale mua xịn giá tốt tiền,"[{'label': 321, 'user': 15}, {'label': 317, 'user': 15}]","{'review_id': 1402, 'comment': 'Tã không mùi, bề mặt tã mềm mịn, ôm nhẹ lấy bé, không để lại vết hằn. Không hề bị xệ mặc dù bé tè nhiều nên bé hoạt động dễ dàng hơn. Có băng keo cuốn tã lại sau khi sử dụng. Mình mua đợt giảm giá nên giá rất tốt. Rất ưng sản phẩm tã Pampers giữ dáng. Sẽ canh sale để mua thêm.', 'summary': 'Tã xịn giá tốt đáng tiền', 'annotations': {'28': ['giá +', 'chất lượng +', 'an toàn +'], '17': ['giá +', 'chất lượng +'], '20': ['giá +', 'chất lượng +'], '25': ['giá +', 'chất lượng +']}}",,,,,0,1,0,1,0,0,0
695,887777,hàng giao nhanh chiều_hôm trưa hôm giao hàng sản_xuất hạn đóng_gói cẩn kì hài_lòng,"[{'label': 327, 'user': 15}, {'label': 319, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 1859, 'comment': 'Hàng giao nhanh, đặt chiều hôm trước mà trưa hôm sau đã giao. Hàng mới sản xuất, hạn sử dụng dài, đóng gói cẩn thận', 'summary': 'Cực kì hài lòng', 'annotations': {'17': ['an toàn +', 'ship +'], '20': ['an toàn +', 'ship +'], '25': ['chất lượng +', 'dịch vụ +', 'ship +']}}",,,,,1,0,0,1,0,1,0
696,887776,vô_cùng hài_lòng giao hàng nhanh chất kì hài_lòng,"[{'label': 319, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 12778, 'comment': 'Vô cùng hài lòng, giao hàng nhanh chất lượng', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['ship +'], '29': ['ship +', 'chất lượng +']}}",,,,,1,0,0,1,0,0,0
697,887775,order tết hôm_nay chưa sản_phẩm_chất_liệu tốt to hơi xíu as to,"[{'label': 316, 'user': 15}, {'label': 319, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 13805, 'comment': 'Order trước Tết và mới nhận được hôm nay. Chưa dùng nhưng thấy sp chất liệu tốt, to, hơi nặng xíu. As expected.', 'summary': 'Túi to chắc', 'annotations': {'19': ['other'], '30': ['ship +', 'chất lượng +']}}",,,,,1,0,0,1,0,0,1
698,887774,săn bỉm giá rẻ trừ 80k tiếc săn trưa 100k mất thảm bé đầu mua tả hãng hi_vọng bé hợp không hài_lòng,"[{'label': 325, 'user': 15}, {'label': 317, 'user': 15}]","{'review_id': 1320, 'comment': 'Săn bỉm giá rẻ.\nLại được giảm trừ 80k. Tiếc là mình săn lúc trưa nên giảm 100k hết mất.\nCó thảm chơi bé chơi nữa.\nLần đầu mua tả hãng này. Hi vọng bé hợp k bị hăm.', 'summary': 'Siêu hài lòng', 'annotations': {'28': ['dịch vụ +', 'giá +'], '17': ['giá +']}}",,,,,0,1,0,0,1,0,0
699,887773,giá đắt sữa đề_nghị hãng độ đi uống vẻ nóng giá mua tiki tàm_tạm giao hàng siêu nhanh ship hàng,"[{'label': 322, 'user': 15}, {'label': 319, 'user': 15}, {'label': 318, 'user': 15}, {'label': 325, 'user': 15}]","{'review_id': 14801, 'comment': 'Giá đắt. Sữa ngọt quá, đề nghị hãng giảm độ ngọt đi. Uống vào có vẻ nóng trong. giá mua của tiki tàm tạm so với nơi khác, giao hàng siêu nhanh, bạn ship hàng tốt.', 'summary': 'Hài lòng', 'annotations': {'28': ['dịch vụ +', 'ship +', 'chất lượng -', 'giá -']}}",,,,,1,1,0,1,1,0,0
700,887772,tốt tốt tốt kì hài_lòng,"[{'label': 316, 'user': 15}]","{'review_id': 1127, 'comment': 'tốt tốt tốt ............', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['chất lượng +', 'typo', 'trash'], '17': ['other'], '20': ['trash'], '25': ['trash']}}",,,,,0,0,0,0,0,0,1
701,887771,tốt giao hàng nhanh ! ủng_hộ tiki tương kì hài_lòng,"[{'label': 319, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 13819, 'comment': 'Tốt, giao hàng rất nhanh! Sẽ ủng hộ tiki nhiều hơn trong tương lai', 'summary': 'Cực kì hài lòng', 'annotations': {'19': ['ship +'], '30': ['ship +', 'chất lượng +']}}",,,,,1,0,0,1,0,0,0
704,887768,hàng hãng yên_tâm bé xài lợi mua gói kì hài_lòng,"[{'label': 317, 'user': 15}, {'label': 323, 'user': 15}]","{'review_id': 14449, 'comment': 'hàng chính hãng. yên tâm cho bé xài.. tính ra lợi hơn khi mua gói 54m.', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['chính hãng +'], '29': ['chính hãng +']}}",,,,,0,1,1,0,0,0,0
705,887767,giao hàng nhanh đóng_gói cẩn_thận hài quần bobby,"[{'label': 319, 'user': 15}]","{'review_id': 12982, 'comment': 'Giao hàng nhanh, đóng gói cẩn thận. tôi rất hài lòng', 'summary': 'tả quần bobby', 'annotations': {'23': ['ship +'], '29': ['dịch vụ +', 'ship +']}}",,,,,1,0,0,0,0,0,0
706,887766,giá_cả hợp_lý chất_lượng đảm_bảo kì hài_lòng,"[{'label': 321, 'user': 15}, {'label': 317, 'user': 15}]","{'review_id': 1130, 'comment': 'giá cả hợp lý mà chất lượng cũng đảm bảo cho trẻ', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['giá +', 'chất lượng +'], '17': ['chất lượng +', 'giá +'], '20': ['giá +', 'chất lượng +'], '25': ['chất lượng +', 'giá +'], '19': ['chất lượng +', 'giá +']}}",,,,,0,1,0,1,0,0,0
707,887765,tả êm oke bé lắm kì hài_lòng,"[{'label': 321, 'user': 15}]","{'review_id': 202, 'comment': 'Tả xài êm và ok cho bé lắm nha', 'summary': 'Cực kì hài lòng', 'annotations': {'20': ['chất lượng +'], '25': ['chất lượng +']}}",,,,,0,0,0,1,0,0,0
709,887763,lừa 1 trắng_trợn đi giao không hài_lòng,"[{'label': 326, 'user': 15}]","{'review_id': 1657, 'comment': 'Bị lừa 1 cách trắng trợn. Để sizeL120 đi giao 108', 'summary': 'Rất không hài lòng', 'annotations': {'28': ['ship -', 'dịch vụ -'], '17': ['dịch vụ -']}}",,,,,0,0,0,0,1,0,0
710,887762,sản_phẩm kì hài_lòng,"[{'label': 321, 'user': 15}]","{'review_id': 13494, 'comment': 'Rất thích sản phẩm dùng rất ok', 'summary': 'Cực kì hài lòng', 'annotations': {'19': ['chất lượng +'], '30': ['chất lượng +']}}",,,,,0,0,0,1,0,0,0
711,887761,giao hàng hơi,"[{'label': 320, 'user': 15}]","{'review_id': 2030, 'comment': 'giao hàng hơi chậm', 'summary': 'Hài lòng', 'annotations': {'23': ['ship -'], '28': ['ship -']}}",,,,,1,0,0,0,0,0,0
712,887760,"sản_phẩm oke bé 5,5 kg mặc hơi chật hằn kì hài_lòng","[{'label': 322, 'user': 15}]","{'review_id': 14788, 'comment': 'sản phẩm ok tuy nhiên bé mình 5,5kg mà mặc hơi chật có hằn luôn', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['chất lượng +'], '29': ['an toàn -', 'chất lượng +']}}",,,,,0,0,0,1,0,0,0
713,887759,tiki giao hàng kì hài_lòng,"[{'label': 319, 'user': 15}]","{'review_id': 13831, 'comment': 'Tiki giao hàng tốt', 'summary': 'Cực kì hài lòng', 'annotations': {'19': ['ship +'], '30': ['ship +']}}",,,,,1,0,0,0,0,0,0
714,887758,2 bịch bé gái bao_bì ghi man bỉm màu hồng chả nhầm không ? chả_lẽ nhật bé gái mã man,"[{'label': 316, 'user': 15}]","{'review_id': 14644, 'comment': 'Mình đặt 2 bịch cho bé gái mà thấy bao bì ngoài ghi là Man. Bên trong thì bỉm màu hồng, chả biết có nhầm ko nhỉ? Chả lẽ người Nhật nhầm?', 'summary': 'Bỉm bé gái nhưng mã lại là Man', 'annotations': {'28': ['other'], '29': ['dịch vụ -']}}",,,,,0,0,0,0,0,0,1
716,887756,đồ không tâm v đồ han thi s ma xai hạn 25 2 2019 sợ tiki roi shop mua 2 bich tien mo hoi cong suc cua ng kì hài_lòng,"[{'label': 316, 'user': 15}]","{'review_id': 14189, 'comment': 'bán đồ mà hk có tâm v b .. đưa đồ hết han thi lm s ma xai date 25 2 2019 .sợ tiki roi so shop b qua mua 2 bich .tien mo hoi cong suc cua ng ta', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['an toàn -', 'typo'], '19': ['an toàn -', 'typo']}}",,,,,0,0,0,0,0,0,1
717,887755,3 bé lớn đều tả mua tiki an phẩm tốt,"[{'label': 316, 'user': 15}]","{'review_id': 13597, 'comment': 'Nhà mình có 3 bé từ nhỏ đến lớn đều sử dụng tả Huggies. mua trên tiki nên nhà mình rất an tâm.', 'summary': 'sản phẩm tốt', 'annotations': {'19': ['other'], '30': ['chất lượng +', 'an toàn +']}}",,,,,0,0,0,0,0,0,1
718,887754,tã thích_hợp ban_ngày 3 - 4 tiếng nặng_trĩu mua bé ban_ngày đêm loại không lo kì hài_lòng,"[{'label': 316, 'user': 15}]","{'review_id': 14347, 'comment': 'Tã thích hợp dùng ban ngày, được khoảng 3-4 tiếng là nặng trĩu rồi ạ. Mình cũng chỉ mua cho bé xài ban ngày thôi, đêm mình dùng loại khác mới ko lo bị tràn.', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['other'], '29': ['other']}}",,,,,0,0,0,0,0,0,1
719,887753,không hài_lòng tã quần shop giao tã dán 1 dịch_vụ không hài_lòng,"[{'label': 326, 'user': 15}]","{'review_id': 12623, 'comment': 'RẤT KHÔNG HÀI LÒNG. MÌNH ĐẶT TÃ QUẦN MÀ SHOP LẠI GIAO TÃ DÁN. 1 SAO CHO DỊCH VỤ TỆ', 'summary': 'Rất không hài lòng', 'annotations': {'23': ['dịch vụ -'], '29': ['dịch vụ -']}}",,,,,0,0,0,0,1,0,0
720,887752,tã siêu thấm hút xịn mua deal giá hời kì hài_lòng,"[{'label': 321, 'user': 15}, {'label': 317, 'user': 15}]","{'review_id': 1262, 'comment': 'Tã xài siêu thấm hút và xịn, mua đc deal giá hời nữa', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['giá +', 'chất lượng +'], '17': ['giá +', 'chất lượng +'], '20': ['giá +', 'chất lượng +'], '25': ['giá +', 'chất lượng +']}}",,,,,0,1,0,1,0,0,0
721,887751,ko giao hàng tỉnh ? kì hài_lòng,"[{'label': 315, 'user': 15}]","{'review_id': 1243, 'comment': 'Ko cho giao hàng tỉnh??? ?', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['trash'], '17': ['other']}}",,,,,0,0,0,0,0,0,0
722,887750,dễ_thương trời đất nè kì hài_lòng,"[{'label': 315, 'user': 15}]","{'review_id': 14415, 'comment': 'dễ thương quá trời quá đất luôn nè. rất tuyệt', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['other'], '29': ['chất lượng +']}}",,,,,0,0,0,0,0,0,0
726,887746,tã mềm thấm hút kì hài_lòng,"[{'label': 321, 'user': 15}]","{'review_id': 14770, 'comment': 'Tã mềm, thấm hút rất tốt.', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['chất lượng +'], '29': ['chất lượng +']}}",,,,,0,0,0,1,0,0,0
728,887744,ok ok kì hài_lòng,"[{'label': 315, 'user': 15}]","{'review_id': 13921, 'comment': 'OK OK okokonojojojokokokokojojojkkokokokokokkokokokokokokokko', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['trash'], '19': ['trash'], '30': ['trash']}}",,,,,0,0,0,0,0,0,0
729,887743,nghe mùi hơi lằn lưng phai mua kích_thước bé 5 kg mom mua cân_nhắc kích_thước oke,"[{'label': 316, 'user': 15}]","{'review_id': 13079, 'comment': 'Nghe mùi thơm.nhưng hơi bị lằn lưng chắc phai mua size là bé có hơn 5 kg nên các mom mua cân nhắc size cho bé', 'summary': 'Hàng ok', 'annotations': {'23': ['typo'], '30': ['other']}}",,,,,0,0,0,0,0,0,1
730,887742,giá tốt chất_lượng kì hài_lòng,"[{'label': 321, 'user': 15}, {'label': 317, 'user': 15}]","{'review_id': 14464, 'comment': 'Giá tốt chất lượng tốt...', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['giá +', 'chất lượng +'], '29': ['giá +', 'chất lượng +']}}",,,,,0,1,0,1,0,0,0
731,887741,sản_phẩm tốt giá tốt vận_chuyển đúng hẹn nhất_thời_gian vận_chuyển,"[{'label': 319, 'user': 15}, {'label': 321, 'user': 15}, {'label': 317, 'user': 15}]","{'review_id': 13552, 'comment': 'Sản phẩm xài tốt. Giá tốt. Vận chuyển đúng hẹn. Thích nhất thời gian vận chuyển của tiki.', 'summary': 'Ok', 'annotations': {'19': ['ship +', 'giá +', 'chất lượng +'], '30': ['ship +', 'giá +', 'chất lượng +']}}",,,,,1,1,0,1,0,0,0
732,887740,sản_phẩm_chất hài kì hài_lòng,"[{'label': 321, 'user': 15}]","{'review_id': 14024, 'comment': 'Sản phẩm chất lượng.rất hài lòng', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['chất lượng +'], '19': ['chất lượng +']}}",,,,,0,0,0,1,0,0,0
733,887739,mua chất_lượng,"[{'label': 321, 'user': 15}]","{'review_id': 284, 'comment': 'Đã mua cho con sử dụng nhiều lần. chất lượng OK', 'summary': 'Hài lòng', 'annotations': {'20': ['chất lượng +'], '25': ['chất lượng +']}}",,,,,0,0,0,1,0,0,0
734,887350,ship hàng kì hài_lòng,"[{'label': 319, 'user': 15}]","{'review_id': 2566, 'comment': 'Ship hàng nhanh', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['ship +'], '28': ['ship +']}}",,,,,1,0,0,0,0,0,0
735,887349,đợt mua hàng hài đợt mua không hài_lòng bao_bì cũ không hài_lòng,"[{'label': 322, 'user': 15}]","{'review_id': 14663, 'comment': 'Đợt nào mua hàng cũng hài lòng.\nNhưng riêng đợt này mua vì không  hài lòng vì bao bì cũ và rất dơ.', 'summary': 'Rất không hài lòng', 'annotations': {'28': ['an toàn -'], '29': ['chất lượng -']}}",,,,,0,0,0,1,0,0,0
736,887348,shop nha rẻ túi_tiền kì hài_lòng,"[{'label': 317, 'user': 15}]","{'review_id': 12866, 'comment': 'cảm ơn shop nha, vừa rẻ vừa túi tiền người dân', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['giá +'], '29': ['giá +']}}",,,,,0,1,0,0,0,0,0
737,887347,bỉm pampers hài_lòng chất_lượng độ thấm vơi bỉm kích_thước hơi mua kích_thước bỉm nhỉnh 1 an_tâm,"[{'label': 321, 'user': 15}]","{'review_id': 1514, 'comment': 'Bỉm Pampers khiến mình cảm thấy hài lòng về chất lượng và độ thấm. Tuy nhiên so vơi các bỉm khác thì kích thước hơi nhỏ nên thường phải mua size bỉm nhỉnh lên 1 size.', 'summary': 'Chất lượng an tâm', 'annotations': {'23': ['trash'], '17': ['chất lượng +']}}",,,,,0,0,0,1,0,0,0
738,887346,tả mỏng thấm tốt không tràn bé ngủ kì hài_lòng,"[{'label': 321, 'user': 15}]","{'review_id': 1259, 'comment': 'tả mỏng nhưng thấm tốt ko tràn, bé ngủ ngon', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['chất lượng +'], '17': ['chất lượng +'], '20': ['chất lượng +'], '25': ['chất lượng +']}}",,,,,0,0,0,1,0,0,0
739,887345,sản_phẩm ok bé sản_phẩm kì hài_lòng,"[{'label': 321, 'user': 15}]","{'review_id': 1951, 'comment': 'sản phẩm ok..bé nhà tôi chỉ dùng sản phẩm này', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['chất lượng +'], '17': ['other'], '20': ['chất lượng +'], '25': ['chất lượng +']}}",,,,,0,0,0,1,0,0,0
740,887344,kích_thước xl không loại tràn ướt lưng khô queo bé tiểu 2 size xl mẫu ok lưng vẻ thấm mồ_hôi không tốt mẫu hài_lòng,"[{'label': 322, 'user': 15}]","{'review_id': 1119, 'comment': 'Mình mới sài size XL, Không biết sao loại mới này bị tràn ướt hết lưng,  còn phần giữa và phía trên khô queo. cái nào cũng bị, bé tiểu lần thứ 2 là bị\nsize XL mẫu trước đó thì rất ok. \nNgoài ra lưng có vẻ thấm mồ hôi ko tốt \nnói chung mẫu trước rất ok', 'summary': 'Không hài lòng', 'annotations': {'28': ['an toàn -', 'chất lượng -'], '17': ['chất lượng -'], '19': ['chất lượng -'], '20': ['trash', 'chất lượng -'], '25': ['chất lượng -']}}",,,,,0,0,0,1,0,0,0
741,887343,giao hàng nhanh mua tiki hài kì hài_lòng,"[{'label': 319, 'user': 15}]","{'review_id': 14785, 'comment': 'Giao hàng rất nhanh, đã mua trên tiki nhiều lần. Rất hài lòng', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['ship +'], '29': ['ship +']}}",,,,,1,0,0,0,0,0,0
742,887342,tã mềm mỏng bé_nhỏ thường_xuyên thay,"[{'label': 322, 'user': 15}]","{'review_id': 1193, 'comment': 'Tã mềm, mỏng, dùng cho bé nhỏ cần thường xuyên thay tã', 'summary': 'Hài lòng', 'annotations': {'28': ['chất lượng +'], '17': ['chất lượng +'], '20': ['chất lượng +'], '25': ['chất lượng +']}}",,,,,0,0,0,1,0,0,0
743,887341,mấy ok tả không thấm bé đái toàn tràn hàng kém chất không hài_lòng,"[{'label': 322, 'user': 15}]","{'review_id': 13357, 'comment': 'Mấy lần trước dùng ok, lần này tả k thấm bé đái toàn tràn ra ngoài. hàng kém chất lượng', 'summary': 'Rất không hài lòng', 'annotations': {'23': ['chất lượng -'], '30': ['chất lượng -']}}",,,,,0,0,0,1,0,0,0
